Name,Montesinos fraction
"[10_124(0,0), K10n21(0,0)]","[(0, 1), (1, 2), (-2, 3), (1, 5)]"
"[10_127(0,0), K10n16(0,0)]","[(0, 1), (1, 2), (2, 3), (-1, 5)]"
"[10_129(0,0), K10n18(0,0)]","[(0, 1), (1, 2), (2, 3), (-4, 7)]"
"[10_131(0,0), K10n19(0,0)]","[(0, 1), (1, 2), (2, 3), (-3, 7)]"
"[10_135(0,0), K10n5(0,0)]","[(0, 1), (1, 2), (2, 3), (-2, 7)]"
"[10_137(0,0), K10n2(0,0)]","[(0, 1), (1, 2), (3, 5), (-3, 5)]"
"[10_138(0,0), K10n1(0,0)]","[(0, 1), (1, 2), (3, 5), (-2, 5)]"
"[10_143(0,0), K10n26(0,0)]","[(0, 1), (2, 3), (-2, 3), (3, 4)]"
"[10_144(0,0), K10n28(0,0)]","[(0, 1), (2, 3), (2, 3), (-1, 4)]"
"[10_146(0,0), K10n23(0,0)]","[(0, 1), (2, 3), (2, 3), (-3, 5)]"
"[10_147(0,0), K10n24(0,0)]","[(0, 1), (2, 3), (-2, 3), (3, 5)]"
"[10_47(0,0), K10a15(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 5)]"
"[10_48(0,0), K10a79(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 5)]"
"[10_49(0,0), K10a13(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 5)]"
"[10_50(0,0), K10a82(0,0)]","[(0, 1), (1, 2), (1, 3), (3, 7)]"
"[10_51(0,0), K10a16(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 7)]"
"[10_52(0,0), K10a80(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 7)]"
"[10_53(0,0), K10a14(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 7)]"
"[10_54(0,0), K10a48(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 7)]"
"[10_55(0,0), K10a9(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 7)]"
"[10_56(0,0), K10a28(0,0)]","[(0, 1), (1, 2), (1, 3), (5, 7)]"
"[10_57(0,0), K10a6(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 7)]"
"[10_58(0,0), K10a20(0,0)]","[(0, 1), (1, 2), (2, 5), (2, 5)]"
"[10_59(0,0), K10a2(0,0)]","[(0, 1), (1, 2), (3, 5), (2, 5)]"
"[10_60(0,0), K10a1(0,0)]","[(0, 1), (1, 2), (3, 5), (3, 5)]"
"[10_61(0,0), K10a123(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 4)]"
"[10_62(0,0), K10a41(0,0)]","[(0, 1), (2, 3), (1, 3), (1, 4)]"
"[10_63(0,0), K10a51(0,0)]","[(0, 1), (2, 3), (2, 3), (1, 4)]"
"[10_64(0,0), K10a122(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 4)]"
"[10_65(0,0), K10a42(0,0)]","[(0, 1), (2, 3), (1, 3), (3, 4)]"
"[10_66(0,0), K10a40(0,0)]","[(0, 1), (2, 3), (2, 3), (3, 4)]"
"[10_67(0,0), K10a37(0,0)]","[(0, 1), (2, 3), (1, 3), (2, 5)]"
"[10_68(0,0), K10a67(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 5)]"
"[10_69(0,0), K10a38(0,0)]","[(0, 1), (2, 3), (2, 3), (3, 5)]"
"[10_70(0,0), K10a22(0,0)]","[(0, 1), (1, 2), (1, 3), (7, 5)]"
"[10_71(0,0), K10a10(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 5)]"
"[10_72(0,0), K10a4(0,0)]","[(0, 1), (1, 2), (1, 3), (8, 5)]"
"[10_73(0,0), K10a3(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 5)]"
"[10_74(0,0), K10a62(0,0)]","[(0, 1), (2, 3), (1, 3), (4, 3)]"
"[10_75(0,0), K10a27(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 3)]"
"[10_76(0,0), K10a73(0,0)]","[(0, 1), (1, 2), (1, 3), (7, 3)]"
"[10_77(0,0), K10a18(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 3)]"
"[10_78(0,0), K10a17(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 3)]"
"[11_116(0,0), K11a46(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 3)]"
"[11_117(0,0), K11a43(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (2, 3)]"
"[11_118(0,0), K11n72(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (-1, 3)]"
"[11_119(0,0), K11n100(0,0)]","[(0, 1), (2, 3), (-2, 3), (5, 7)]"
"[11_120(0,0), K11a47(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 3), (2, 3)]"
"[11_121(0,0), K11n71(0,0)]","[(0, 1), (1, 2), (2, 3), (-2, 3), (2, 3)]"
"[11_122(0,0), K11a11(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 5)]"
"[11_123(0,0), K11a6(0,0)]","[(0, 1), (1, 2), (3, 5), (8, 5)]"
"[11_124(0,0), K11n103(0,0)]","[(0, 1), (2, 3), (3, 5), (-2, 5)]"
"[11_125(0,0), K11a198(0,0)]","[(0, 1), (1, 3), (3, 5), (3, 5)]"
"[11_126(0,0), K11a12(0,0)]","[(0, 1), (1, 2), (1, 3), (13, 5)]"
"[11_127(0,0), K11a187(0,0)]","[(0, 1), (2, 3), (1, 3), (8, 5)]"
"[11_128(0,0), K11a100(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 8)]"
"[11_129(0,0), K11n105(0,0)]","[(0, 1), (2, 3), (2, 3), (-3, 8)]"
"[11_130(0,0), K11a109(0,0)]","[(0, 1), (2, 3), (1, 3), (5, 8)]"
"[11_131(0,0), K11n85(0,0)]","[(0, 1), (2, 3), (-2, 3), (5, 8)]"
"[11_132(0,0), K11a194(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 8)]"
"[11_133(0,0), K11n107(0,0)]","[(0, 1), (2, 3), (-1, 3), (-5, 8)]"
"[11_134(0,0), K11a32(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 13)]"
"[11_135(0,0), K11n55(0,0)]","[(0, 1), (1, 2), (2, 3), (-5, 13)]"
"[11_136(0,0), K11a83(0,0)]","[(0, 1), (1, 2), (1, 3), (8, 13)]"
"[11_137(0,0), K11n56(0,0)]","[(0, 1), (1, 2), (-2, 3), (8, 13)]"
"[11_138(0,0), K11a35(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 13)]"
"[11_139(0,0), K11n54(0,0)]","[(0, 1), (1, 2), (2, 3), (-8, 13)]"
"[11_140(0,0), K11a82(0,0)]","[(0, 1), (1, 2), (1, 3), (5, 13)]"
"[11_142(0,0), K11a134(0,0)]","[(0, 1), (2, 3), (2, 3), (3, 8)]"
"[11_143(0,0), K11n87(0,0)]","[(0, 1), (2, 3), (2, 3), (-5, 8)]"
"[11_144(0,0), K11a108(0,0)]","[(0, 1), (2, 3), (1, 3), (3, 8)]"
"[11_145(0,0), K11n106(0,0)]","[(0, 1), (2, 3), (-2, 3), (3, 8)]"
"[11_146(0,0), K11a223(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 8)]"
"[11_148(0,0), K11a31(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 11)]"
"[11_149(0,0), K11n52(0,0)]","[(0, 1), (1, 2), (2, 3), (-3, 11)]"
"[11_150(0,0), K11a92(0,0)]","[(0, 1), (1, 2), (1, 3), (8, 11)]"
"[11_151(0,0), K11n53(0,0)]","[(0, 1), (1, 2), (-2, 3), (8, 11)]"
"[11_152(0,0), K11a33(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 11)]"
"[11_153(0,0), K11n51(0,0)]","[(0, 1), (1, 2), (2, 3), (-8, 11)]"
"[11_154(0,0), K11a74(0,0)]","[(0, 1), (1, 2), (1, 3), (3, 11)]"
"[11_156(0,0), K11a42(0,0)]","[(0, 1), (1, 2), (2, 3), (12, 5)]"
"[11_157(0,0), K11a78(0,0)]","[(0, 1), (2, 3), (2, 3), (7, 5)]"
"[11_158(0,0), K11a5(0,0)]","[(0, 1), (1, 2), (3, 5), (7, 5)]"
"[11_159(0,0), K11a104(0,0)]","[(0, 1), (2, 3), (3, 5), (2, 5)]"
"[11_160(0,0), K11n50(0,0)]","[(0, 1), (2, 3), (-3, 5), (-2, 5)]"
"[11_161(0,0), K11a51(0,0)]","[(0, 1), (1, 2), (2, 5), (7, 5)]"
"[11_162(0,0), K11n84(0,0)]","[(0, 1), (2, 3), (-3, 5), (2, 5)]"
"[11_163(0,0), K11a200(0,0)]","[(0, 1), (1, 3), (2, 5), (2, 5)]"
"[11_164(0,0), K11a64(0,0)]","[(0, 1), (1, 2), (1, 3), (12, 5)]"
"[11_165(0,0), K11a237(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 5)]"
"[11_166(0,0), K11a36(0,0)]","[(0, 1), (1, 2), (2, 3), (12, 7)]"
"[11_167(0,0), K11a128(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 7)]"
"[11_168(0,0), K11a1(0,0)]","[(0, 1), (1, 2), (3, 5), (5, 7)]"
"[11_169(0,0), K11n2(0,0)]","[(0, 1), (1, 2), (3, 5), (-2, 7)]"
"[11_170(0,0), K11a48(0,0)]","[(0, 1), (1, 2), (2, 5), (5, 7)]"
"[11_171(0,0), K11n3(0,0)]","[(0, 1), (1, 2), (-3, 5), (5, 7)]"
"[11_172(0,0), K11a94(0,0)]","[(0, 1), (1, 2), (1, 3), (12, 7)]"
"[11_173(0,0), K11a219(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 7)]"
"[11_174(0,0), K11a23(0,0)]","[(0, 1), (1, 2), (2, 3), (9, 7)]"
