Name,Bridge number,Alternating?,Tunnel number,Montesinos?,Montesinos fraction,Lustig-Moriah?
11a_1,3,Y,1,Y,"[1/2, 3/5, 5/7]",N
11a_2,3,Y,2,N,n/a,N
11a_3,3,Y,2,N,n/a,N
11a_4,3,Y,1,Y,"[1/2, 3/5, 2/7]",N
11a_5,3,Y,1,Y,"[1/2, 3/5, 7/5]",N
11a_6,3,Y,1,Y,"[1/2, 3/5, 8/5]",N
11a_7,3,Y,1,Y,"[1/2, 3/5, 4/5]",N
11a_8,3,Y,1,Y,"[1/2, 3/5, 4/7]",N
11a_9,3,Y,1,Y,"[1/2, 3/5, 1/5]",N
11a_10,3,Y,1,Y,"[1/2, 3/5, 3/7]",N
11a_11,3,Y,1,Y,"[1/2, 2/3, 13/5]",N
11a_12,3,Y,1,Y,"[1/2, 1/3, 13/5]",N
11a_13,2,Y,1,N,n/a,N
11a_14,3,Y,2,N,n/a,N
11a_15,3,Y,2,N,n/a,N
11a_16,3,Y,1,Y,"[1/2, 2/3, 7/9]",N
11a_17,3,Y,2,N,n/a,N
11a_18,3,Y,2,N,n/a,N
11a_19,3,Y,2,N,n/a,N
11a_20,3,Y,2,N,n/a,N
11a_21,3,Y,1,Y,"[1/2, 2/3, 2/9]",N
11a_22,3,Y,2,N,n/a,N
11a_23,3,Y,1,Y,"[1/2, 2/3, 9/7]",N
11a_24,3,Y,2,N,n/a,N
11a_25,3,Y,2,N,n/a,N
11a_26,3,Y,2,N,n/a,N
11a_27,3,Y,2,N,n/a,N
11a_28,3,Y,2,N,n/a,N
11a_29,3,Y,2,N,n/a,N
11a_30,3,Y,2,N,n/a,N
11a_31,3,Y,1,Y,"[1/2, 2/3, 8/11]",N
11a_32,3,Y,1,Y,"[1/2, 2/3, 8/13]",N
11a_33,3,Y,1,Y,"[1/2, 2/3, 3/11]",N
11a_34,3,Y,1,Y,"[1/2, 2/3, 7/11]",N
11a_35,3,Y,1,Y,"[1/2, 2/3, 5/13]",N
11a_36,3,Y,1,Y,"[1/2, 2/3, 12/7]",N
11a_37,3,Y,1,Y,"[1/2, 2/3, 5/9]",N
11a_38,3,Y,2,N,n/a,N
11a_39,3,Y,1,Y,"[1/2, 2/3, 4/11]",N
11a_40,3,Y,1,Y,"[1/2, 2/3, 9/5]",N
11a_41,3,Y,1,Y,"[1/2, 2/3, 11/7]",N
11a_42,3,Y,1,Y,"[1/2, 2/3, 12/5]",N
11a_43,4,Y,2,Y,"[1/2, 2/3, 2/3, 2/3]",N
11a_44,4,Y,2,Y,"[1/2, 2/3, 2/3, 1/3]",N
11a_45,3,Y,1,Y,"[1/2, 2/3, 4/9]",N
