Knot,u_a,Alexander,Nak.,det.,sign,max LT.
3_1,1,1-t+t^2,1,3,-2,2
4_1,1,-1+3t-t^2,1,5,0,0
5_1,2,1-t+t^2-t^3+t^4,1,5,-4,4
5_2,1,2-3t+2t^2,1,7,-2,2
6_1,1,-2+5t-2t^2,1,9,0,0
6_2,1,-1+3t-3t^2+3t^3-t^4,1,11,-2,2
6_3,1,1-3t+5t^2-3t^3+t^4,1,13,0,0
7_1,3,1-t+t^2-t^3+t^4-t^5+t^6,1,7,-6,6
7_2,1,3-5t+3t^2,1,11,-2,2
7_3,2,2-3t+3t^2-3t^3+2t^4,1,13,-4,4
7_4,2,4-7t+4t^2,1,15,-2,2
7_5,2,2-4t+5t^2-4t^3+2t^4,1,17,-4,4
7_6,1,-1+5t-7t^2+5t^3-t^4,1,19,-2,2
7_7,1,1-5t+9t^2-5t^3+t^4,1,21,0,0
8_1,1,-3+7t-3t^2,1,13,0,0
8_2,2,-1+3t-3t^2+3t^3-3t^4+3t^5-t^6,1,17,-4,4
8_3,1,-4+9t-4t^2,1,17,0,0
8_4,1,-2+5t-5t^2+5t^3-2t^4,1,19,2,2
8_5,2,-1+3t-4t^2+5t^3-4t^4+3t^5-t^6,1,21,-4,4
8_6,1,-2+6t-7t^2+6t^3-2t^4,1,23,-2,2
8_7,1,1-3t+5t^2-5t^3+5t^4-3t^5+t^6,1,23,2,2
8_8,2,2-6t+9t^2-6t^3+2t^4,1,25,0,0
8_9,1,-1+3t-5t^2+7t^3-5t^4+3t^5-t^6,1,25,0,0
8_10,1,1-3t+6t^2-7t^3+6t^4-3t^5+t^6,1,27,2,2
8_11,1,-2+7t-9t^2+7t^3-2t^4,1,27,-2,2
8_12,1,1-7t+13t^2-7t^3+t^4,1,29,0,0
8_13,1,2-7t+11t^2-7t^3+2t^4,1,29,0,0
8_14,1,-2+8t-11t^2+8t^3-2t^4,1,31,-2,2
8_15,2,3-8t+11t^2-8t^3+3t^4,1,33,-4,4
8_16,2,1-4t+8t^2-9t^3+8t^4-4t^5+t^6,1,35,2,2
8_17,1,-1+4t-8t^2+11t^3-8t^4+4t^5-t^6,1,37,0,0
8_18,2,-1+5t-10t^2+13t^3-10t^4+5t^5-t^6,2,45,0,0
8_19,3,1-t+t^3-t^5+t^6,1,3,-6,6
8_20,1,1-2t+3t^2-2t^3+t^4,1,9,0,0
8_21,1,-1+4t-5t^2+4t^3-t^4,1,15,-2,2
9_1,4,1-t+t^2-t^3+t^4-t^5+t^6-t^7+t^8,1,9,-8,8
9_2,1,4-7t+4t^2,1,15,-2,2
9_3,3,2-3t+3t^2-3t^3+3t^4-3t^5+2t^6,1,19,-6,6
9_4,2,3-5t+5t^2-5t^3+3t^4,1,21,-4,4
9_5,1,6-11t+6t^2,1,23,-2,2
9_6,3,2-4t+5t^2-5t^3+5t^4-4t^5+2t^6,1,27,-6,6
9_7,2,3-7t+9t^2-7t^3+3t^4,1,29,-4,4
9_8,1,-2+8t-11t^2+8t^3-2t^4,1,31,-2,2
9_9,3,2-4t+6t^2-7t^3+6t^4-4t^5+2t^6,1,31,-6,6
9_10,2,4-8t+9t^2-8t^3+4t^4,1 or 2,33,-4,4
9_11,2,-1+5t-7t^2+7t^3-7t^4+5t^5-t^6,1,33,4,4
9_12,1,-2+9t-13t^2+9t^3-2t^4,1,35,-2,2
9_13,2,4-9t+11t^2-9t^3+4t^4,1,37,-4,4
9_14,1,2-9t+15t^2-9t^3+2t^4,1,37,0,0
9_15,2,-2+10t-15t^2+10t^3-2t^4,1,39,2,2
9_16,3,2-5t+8t^2-9t^3+8t^4-5t^5+2t^6,1,39,-6,6
9_17,2,1-5t+9t^2-9t^3+9t^4-5t^5+t^6,1,39,-2,2
9_18,2,4-10t+13t^2-10t^3+4t^4,1 or 2,41,-4,4
9_19,1,2-10t+17t^2-10t^3+2t^4,1,41,0,0
9_20,2,-1+5t-9t^2+11t^3-9t^4+5t^5-t^6,1,41,-4,4
9_21,1,-2+11t-17t^2+11t^3-2t^4,1 or 2,43,2,2
9_22,1,1-5t+10t^2-11t^3+10t^4-5t^5+t^6,1,43,-2,2
9_23,2,4-11t+15t^2-11t^3+4t^4,1,45,-4,4
9_24,1,-1+5t-10t^2+13t^3-10t^4+5t^5-t^6,1,45,0,0
9_25,1,-3+12t-17t^2+12t^3-3t^4,1,47,-2,2
9_26,1,1-5t+11t^2-13t^3+11t^4-5t^5+t^6,1,47,2,2
9_27,1,-1+5t-11t^2+15t^3-11t^4+5t^5-t^6,1,49,0,0
9_28,1,1-5t+12t^2-15t^3+12t^4-5t^5+t^6,1,51,-2,2
9_29,1,1-5t+12t^2-15t^3+12t^4-5t^5+t^6,1,51,2,2
9_30,1,-1+5t-12t^2+17t^3-12t^4+5t^5-t^6,1,53,0,0
9_31,2,1-5t+13t^2-17t^3+13t^4-5t^5+t^6,1,55,-2,2
9_32,1,1-6t+14t^2-17t^3+14t^4-6t^5+t^6,1,59,2,2
9_33,1,-1+6t-14t^2+19t^3-14t^4+6t^5-t^6,1,61,0,0
9_34,1,-1+6t-16t^2+23t^3-16t^4+6t^5-t^6,1,69,0,0
9_35,2,7-13t+7t^2,2,27,-2,2
9_36,2,-1+5t-8t^2+9t^3-8t^4+5t^5-t^6,1,37,4,4
9_37,2,2-11t+19t^2-11t^3+2t^4,2,45,0,0
9_38,2,5-14t+19t^2-14t^3+5t^4,1 or 2,57,-4,4
9_39,1,-3+14t-21t^2+14t^3-3t^4,1,55,2,2
9_40,2,1-7t+18t^2-23t^3+18t^4-7t^5+t^6,2,75,-2,2
9_41,2,3-12t+19t^2-12t^3+3t^4,2,49,0,0
9_42,1,-1+2t-t^2+2t^3-t^4,1,7,2,2
9_43,2,-1+3t-2t^2+t^3-2t^4+3t^5-t^6,1,13,-4,4
9_44,1,1-4t+7t^2-4t^3+t^4,1,17,0,0
9_45,1,-1+6t-9t^2+6t^3-t^4,1,23,2,2
9_46,2,-2+5t-2t^2,2,9,0,0
9_47,2,1-4t+6t^2-5t^3+6t^4-4t^5+t^6,2,27,-2,2
9_48,2,-1+7t-11t^2+7t^3-t^4,2,27,2,2
9_49,3,3-6t+7t^2-6t^3+3t^4,2,25,-4,4
10_1,1,-4+9t-4t^2,1,17,0,0
10_2,3,-1+3t-3t^2+3t^3-3t^4+3t^5-3t^6+3t^7-t^8,1,23,-6,6
10_3,2,-6+13t-6t^2,1,25,0,0
