Name,Montesinos?,Montesinos fraction
0_1,N,n/a
3_1,N,n/a
4_1,N,n/a
5_1,N,n/a
5_2,N,n/a
6_1,N,n/a
6_2,N,n/a
6_3,N,n/a
7_1,N,n/a
7_2,N,n/a
7_3,N,n/a
7_4,N,n/a
7_5,N,n/a
7_6,N,n/a
7_7,N,n/a
8_1,N,n/a
8_2,N,n/a
8_3,N,n/a
8_4,N,n/a
8_5,Y,"[0, 1/2, 1/3, 1/3]"
8_6,N,n/a
8_7,N,n/a
8_8,N,n/a
8_9,N,n/a
8_10,Y,"[0, 1/2, 2/3, 1/3]"
8_11,N,n/a
8_12,N,n/a
8_13,N,n/a
8_14,N,n/a
8_15,Y,"[0, 1/2, 2/3, 2/3]"
8_16,N,n/a
8_17,N,n/a
8_18,N,n/a
8_19,Y,"[0, 1/2, -2/3, 1/3]"
8_20,Y,"[0, 1/2, 2/3, -2/3]"
8_21,Y,"[0, 1/2, 2/3, -1/3]"
9_1,N,n/a
9_2,N,n/a
9_3,N,n/a
9_4,N,n/a
9_5,N,n/a
9_6,N,n/a
9_7,N,n/a
9_8,N,n/a
9_9,N,n/a
9_10,N,n/a
9_11,N,n/a
9_12,N,n/a
9_13,N,n/a
9_14,N,n/a
9_15,N,n/a
9_16,Y,"[0, 1/2, 1/3, 4/3]"
9_17,N,n/a
9_18,N,n/a
9_19,N,n/a
9_20,N,n/a
9_21,N,n/a
9_22,Y,"[0, 1/2, 1/3, 3/5]"
9_23,N,n/a
9_24,Y,"[0, 1/2, 2/3, 4/3]"
9_25,Y,"[0, 1/2, 2/3, 2/5]"
9_26,N,n/a
9_27,N,n/a
9_28,Y,"[0, 1/2, 2/3, 5/3]"
9_29,N,n/a
9_30,Y,"[0, 1/2, 2/3, 3/5]"
9_31,N,n/a
9_32,N,n/a
9_33,N,n/a
9_34,N,n/a
9_35,Y,"[0, 1/3, 1/3, 1/3]"
9_36,Y,"[0, 1/2, 1/3, 2/5]"
9_37,Y,"[0, 2/3, 2/3, 1/3]"
9_38,N,n/a
9_39,N,n/a
9_40,N,n/a
9_41,N,n/a
9_42,Y,"[0, 1/2, -2/3, 2/5]"
