Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions
3_1,1,1,2,1,1,reversible,Z2,N,['n/a']
4_1,1,1,2,1,1,fully amphicheiral,D4,N,['n/a']
5_1,2,2,2,1,1,reversible,Z2,N,['n/a']
5_2,1,1,2,1,1,reversible,D2,N,['n/a']
6_1,1,1,2,1,1,reversible,D2,N,['n/a']
6_2,1,2,2,1,1,reversible,D2,N,['n/a']
6_3,1,2,2,1,1,fully amphicheiral,D4,N,['n/a']
7_1,3,3,2,1,1,reversible,Z2,N,['n/a']
7_2,1,1,2,1,1,reversible,D2,N,['n/a']
7_3,2,2,2,1,1,reversible,D2,N,['n/a']
7_4,2,1,2,1,1,reversible,D4,N,['n/a']
7_5,2,2,2,1,1,reversible,D2,N,['n/a']
7_6,1,2,2,1,1,reversible,D2,N,['n/a']
7_7,1,2,2,1,1,reversible,D4,N,['n/a']
8_1,1,1,2,1,1,reversible,D2,N,['n/a']
8_2,2,3,2,1,1,reversible,D2,N,['n/a']
8_3,2,1,2,1,1,fully amphicheiral,D4,N,['n/a']
8_4,2,2,2,1,1,reversible,D2,N,['n/a']
8_5,2,3,3,1,1,reversible,D2,Y,"['1/2', '1/3', '1/3']"
8_6,2,2,2,1,1,reversible,D2,N,['n/a']
8_7,1,3,2,1,1,reversible,D2,N,['n/a']
8_8,2,2,2,1,1,reversible,D2,N,['n/a']
8_9,1,3,2,1,1,fully amphicheiral,D4,N,['n/a']
8_10,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '1/3']"
8_11,1,2,2,1,1,reversible,D2,N,['n/a']
8_12,2,2,2,1,1,fully amphicheiral,D4,N,['n/a']
8_13,1,2,2,1,1,reversible,D2,N,['n/a']
8_14,1,2,2,1,1,reversible,D2,N,['n/a']
8_15,2,2,3,1,1,reversible,D2,Y,"['1/2', '2/3', '2/3']"
8_16,2,3,3,1,2,reversible,D1,N,['n/a']
8_17,1,3,3,1,2,negative amphicheiral,D1,N,['n/a']
8_18,2,3,3,2,2,fully amphicheiral,D8,N,['n/a']
8_19,3,3,3,1,1,reversible,Z2,Y,"['1/2', '-2/3', '1/3']"
8_20,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-2/3']"
8_21,1,2,3,1,1,reversible,D2,Y,"['1/2', '2/3', '-1/3']"
9_1,4,4,2,1,1,reversible,Z2,N,['n/a']
9_2,1,1,2,1,1,reversible,D2,N,['n/a']
9_3,3,3,2,1,1,reversible,D2,N,['n/a']
9_4,2,2,2,1,1,reversible,D2,N,['n/a']
9_5,2,1,2,1,1,reversible,D2,N,['n/a']
9_6,3,3,2,1,1,reversible,D2,N,['n/a']
9_7,2,2,2,1,1,reversible,D2,N,['n/a']
9_8,2,2,2,1,1,reversible,D2,N,['n/a']
9_9,3,3,2,1,1,reversible,D2,N,['n/a']
9_10,3,2,2,1,1,reversible,D4,N,['n/a']
9_11,2,3,2,1,1,reversible,D2,N,['n/a']
9_12,1,2,2,1,1,reversible,D2,N,['n/a']
9_13,3,2,2,1,1,reversible,D2,N,['n/a']
9_14,1,2,2,1,1,reversible,D2,N,['n/a']
9_15,2,2,2,1,1,reversible,D2,N,['n/a']
9_16,3,3,3,1,1,reversible,D2,Y,"['1/2', '1/3', '4/3']"
9_17,2,3,2,1,1,reversible,D4,N,['n/a']
9_18,2,2,2,1,1,reversible,D2,N,['n/a']
9_19,1,2,2,1,1,reversible,D2,N,['n/a']
9_20,2,3,2,1,1,reversible,D2,N,['n/a']
9_21,1,2,2,1,1,reversible,D2,N,['n/a']
9_22,1,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '3/5']"
9_23,2,2,2,1,1,reversible,D4,N,['n/a']
9_24,1,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '4/3']"
9_25,2,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '2/5']"
9_26,1,3,2,1,1,reversible,D2,N,['n/a']
9_27,1,3,2,1,1,reversible,D2,N,['n/a']
9_28,1,3,3,1,1,reversible,D2,Y,"['1/2', '2/3', '5/3']"
9_29,2,3,3,1,2,reversible,D1,N,['n/a']
9_30,1,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '3/5']"
9_31,2,3,2,1,1,reversible,D4,N,['n/a']
9_32,2,3,3,1,2,chiral,1,N,['n/a']
9_33,1,3,3,1,2,chiral,1,N,['n/a']
9_34,1,3,3,1,2,reversible,D1,N,['n/a']
9_35,3,1,3,2,2,reversible,D6,Y,"['1/3', '1/3', '1/3']"
9_36,2,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '2/5']"
9_37,2,2,3,2,2,reversible,D2,Y,"['2/3', '2/3', '1/3']"
9_38,3,2,3,2,2,reversible,D1,N,['n/a']
9_39,1,2,3,1,2,reversible,D1,N,['n/a']
9_40,2,3,3,2,2,reversible,D6,N,['n/a']
9_41,2,2,3,2,2,reversible,D3,N,['n/a']
9_42,1,2,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '2/5']"
9_43,2,3,3,1,1,reversible,D1,Y,"['1/2', '-2/3', '3/5']"
9_44,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-3/5']"
9_45,1,2,3,1,1,reversible,D1,Y,"['1/2', '2/3', '-2/5']"
9_46,2,1,3,2,2,reversible,D2,Y,"['2/3', '-2/3', '1/3']"
9_47,2,3,3,2,2,reversible,D3,N,['n/a']
9_48,2,2,3,2,2,reversible,D6,Y,"['2/3', '2/3', '-1/3']"
9_49,3,2,3,2,2,reversible,D3,N,['n/a']
10_1,1,1,2,1,1,reversible,D2,N,['n/a']
10_2,3,4,2,1,1,reversible,D2,N,['n/a']
10_3,2,1,2,1,1,reversible,D2,N,['n/a']
10_4,2,2,2,1,1,reversible,D2,N,['n/a']
10_5,2,4,2,1,1,reversible,D2,N,['n/a']
10_6,3,3,2,1,1,reversible,D2,N,['n/a']
10_7,1,2,2,1,1,reversible,D2,N,['n/a']
10_8,2,3,2,1,1,reversible,D2,N,['n/a']
10_9,1,4,2,1,1,reversible,D2,N,['n/a']
10_10,1,2,2,1,1,reversible,D2,N,['n/a']
10_11,[2; 3],2,2,1,1,reversible,D2,N,['n/a']
10_12,2,3,2,1,1,reversible,D2,N,['n/a']
10_13,2,2,2,1,1,reversible,D2,N,['n/a']
10_14,2,3,2,1,1,reversible,D2,N,['n/a']
10_15,2,3,2,1,1,reversible,D2,N,['n/a']
10_16,2,2,2,1,1,reversible,D2,N,['n/a']
10_17,1,4,2,1,1,fully amphicheiral,D4,N,['n/a']
10_18,1,2,2,1,1,reversible,D2,N,['n/a']
10_19,2,3,2,1,1,reversible,D2,N,['n/a']
10_20,2,2,2,1,1,reversible,D2,N,['n/a']
10_21,2,3,2,1,1,reversible,D2,N,['n/a']
10_22,2,3,2,1,1,reversible,D2,N,['n/a']
10_23,1,3,2,1,1,reversible,D2,N,['n/a']
10_24,2,2,2,1,1,reversible,D2,N,['n/a']
10_25,2,3,2,1,1,reversible,D2,N,['n/a']
