Name,Bridge number,Nakanishi index,Tunnel number,Symmetry type,Full symmetry group,Montesinos?,Montesinos fractions,Jones polynomial evaluated at exp(2*pi*sqrt(-1)/5),Tunnel number one detected by a realizable Heegaard splitting?,Lustig-Moriah?
3_1,2,1,1,reversible,Z2,N,['n/a'],1.5433619184268168,Y,N
4_1,2,1,1,fully amphicheiral,D4,N,['n/a'],1.2360679774997898,Y,N
5_1,2,1,1,reversible,Z2,N,['n/a'],0.3819660112501051,Y,N
5_2,2,1,1,reversible,D2,N,['n/a'],0.8208301156455801,Y,N
6_1,2,1,1,reversible,D2,N,['n/a'],1.433781046743485,Y,N
6_2,2,1,1,reversible,D2,N,['n/a'],0.5895117958968009,Y,N
6_3,2,1,1,fully amphicheiral,D4,N,['n/a'],0.1458980337503153,Y,N
7_1,2,1,1,reversible,Z2,N,['n/a'],1.5433619184268166,Y,N
7_2,2,1,1,reversible,D2,N,['n/a'],1.4337810467434855,Y,N
7_3,2,1,1,reversible,D2,N,['n/a'],1.315100820755418,Y,N
7_4,2,1,1,reversible,D4,N,['n/a'],1.5024494047228332,Y,N
7_5,2,1,1,reversible,D2,N,['n/a'],1.0377930074215433,Y,N
7_6,2,1,1,reversible,D2,N,['n/a'],0.8664735454725581,Y,N
7_7,2,1,1,reversible,D4,N,['n/a'],1.344062682691781,Y,N
8_1,2,1,1,reversible,D2,N,['n/a'],0.8208301156455792,Y,N
8_2,2,1,1,reversible,D2,N,['n/a'],1.3151008207554173,Y,N
8_3,2,1,1,fully amphicheiral,D4,N,['n/a'],0.14589803375031596,Y,N
8_4,2,1,1,reversible,D2,N,['n/a'],1.1845894848015128,Y,N
8_5,3,1,1,reversible,D2,Y,"[1/2, 1/3, 1/3]",1.0377930074215345,Y,N
8_6,2,1,1,reversible,D2,N,['n/a'],0.6515661775710294,Y,N
8_7,2,1,1,reversible,D2,N,['n/a'],1.4603911860367735,Y,N
8_8,2,1,1,reversible,D2,N,['n/a'],0.9759111274880217,Y,N
8_9,2,1,1,fully amphicheiral,D4,N,['n/a'],1.5278640450004213,Y,N
8_10,3,1,1,reversible,D1,Y,"[1/2, 2/3, 1/3]",1.0742572562036026,Y,N
8_11,2,1,1,reversible,D2,N,['n/a'],1.5924806635423243,Y,N
8_12,2,1,1,fully amphicheiral,D4,N,['n/a'],0.7082039324993685,Y,N
8_13,2,1,1,reversible,D2,N,['n/a'],1.486525056131561,Y,N
8_14,2,1,1,reversible,D2,N,['n/a'],1.247910613789472,Y,N
8_15,3,1,1,reversible,D2,Y,"[1/2, 2/3, 2/3]",0.9512124145057637,Y,N
8_16,3,1,2,reversible,D1,N,['n/a'],0.7606360077334101,N,N
8_17,3,1,2,negative amphicheiral,D1,N,['n/a'],0.6737620787507366,N,N
8_18,3,2,2,fully amphicheiral,D8,N,['n/a'],2.0557280900008426,N,N
8_19,3,1,1,reversible,Z2,Y,"[1/2, -2/3, 1/3]",1.0,Y,N
8_20,3,1,1,reversible,D1,Y,"[1/2, 2/3, -2/3]",0.8208301156455805,Y,N
8_21,3,1,1,reversible,D2,Y,"[1/2, 2/3, -1/3]",0.741046747008975,Y,N
9_1,2,1,1,reversible,Z2,N,['n/a'],1.0,Y,N
9_2,2,1,1,reversible,D2,N,['n/a'],1.2360679774997898,Y,N
9_3,2,1,1,reversible,D2,N,['n/a'],0.5895117958968009,Y,N
9_4,2,1,1,reversible,D2,N,['n/a'],1.1845894848015144,Y,N
9_5,2,1,1,reversible,D2,N,['n/a'],0.1458980337503153,Y,N
9_6,2,1,1,reversible,D2,N,['n/a'],1.4603911860367724,Y,N
9_7,2,1,1,reversible,D2,N,['n/a'],0.31352920518710437,Y,N
9_8,2,1,1,reversible,D2,N,['n/a'],0.3135292051871072,Y,N
9_9,2,1,1,reversible,D2,N,['n/a'],1.0742572562036108,Y,N
9_10,2,1,1,reversible,D4,N,['n/a'],1.3724135022862738,Y,N
9_11,2,1,1,reversible,D2,N,['n/a'],1.5924806635423105,Y,N
9_12,2,1,1,reversible,D2,N,['n/a'],1.0146018209169385,Y,N
9_13,2,1,1,reversible,D2,N,['n/a'],1.1095237621426246,Y,N
9_14,2,1,1,reversible,D2,N,['n/a'],0.41870620816785914,Y,N
9_15,2,1,1,reversible,D2,N,['n/a'],1.4001903968784795,Y,N
9_16,3,1,1,reversible,D2,Y,"[1/2, 1/3, 4/3]",0.7606360077334114,Y,N
9_17,2,1,1,reversible,D4,N,['n/a'],1.6164804329187714,Y,N
9_18,2,1,1,reversible,D2,N,['n/a'],1.1437033291077716,Y,N
9_19,2,1,1,reversible,D2,N,['n/a'],0.5023238148956727,Y,N
9_20,2,1,1,reversible,D2,N,['n/a'],1.4001903968785,Y,N
9_21,2,1,1,reversible,D2,N,['n/a'],0.9908679951249486,Y,N
9_22,3,1,1,reversible,D1,Y,"[1/2, 1/3, 3/5]",0.6737620787507362,Y,N
9_23,2,1,1,reversible,D4,N,['n/a'],1.6016902068640473,Y,N
9_24,3,1,1,reversible,D1,Y,"[1/2, 2/3, 4/3]",0.9258550568338548,Y,N
9_25,3,1,1,reversible,D1,Y,"[1/2, 2/3, 2/5]",0.45247292047844223,Y,N
9_26,2,1,1,reversible,D2,N,['n/a'],1.1768906624088942,Y,N
9_27,2,1,1,reversible,D2,N,['n/a'],1.454153293163002,Y,N
9_28,3,1,1,reversible,D2,Y,"[1/2, 2/3, 5/3]",1.0657617164585813,Y,N
9_29,3,1,2,reversible,D1,N,['n/a'],1.5219027313754474,N,N
9_30,3,1,1,reversible,D1,Y,"[1/2, 2/3, 3/5]",1.0056024257980511,Y,N
9_31,2,1,1,reversible,D4,N,['n/a'],1.4376941012510087,Y,N
9_32,3,1,2,chiral,1,N,['n/a'],0.330963444017885,N,N
9_33,3,1,2,chiral,1,N,['n/a'],0.71609290513069,N,N
9_34,3,1,2,reversible,D1,N,['n/a'],1.8182788362312916,N,N
9_35,3,2,2,reversible,D6,Y,"[1/3, 1/3, 1/3]",2.2853691955575473,N,Y
9_36,3,1,1,reversible,D1,Y,"[1/2, 1/3, 2/5]",0.8385576508259629,Y,N
9_37,3,2,2,reversible,D2,Y,"[2/3, 2/3, 1/3]",2.308537099824129,N,Y
9_38,3,2,2,reversible,D1,N,['n/a'],1.464233128646127,N,N
9_39,3,1,2,reversible,D1,N,['n/a'],0.9416073710805146,N,N
9_40,3,2,2,reversible,D6,N,['n/a'],1.7702905573785228,N,N
9_41,3,2,2,reversible,D3,N,['n/a'],0.45247292047845633,N,N
9_42,3,1,1,reversible,D1,Y,"[1/2, -2/3, 2/5]",0.3819660112501051,Y,N
9_43,3,1,1,reversible,D1,Y,"[1/2, -2/3, 3/5]",1.0961870842840296,Y,N
9_44,3,1,1,reversible,D1,Y,"[1/2, 2/3, -3/5]",0.7410467470090052,Y,N
9_45,3,1,1,reversible,D1,Y,"[1/2, 2/3, -2/5]",0.9759111274880232,Y,N
9_46,3,2,2,reversible,D2,Y,"[2/3, -2/3, 1/3]",2.268457192399785,N,Y
9_47,3,2,2,reversible,D3,N,['n/a'],2.1085124424595474,N,N
9_48,3,2,2,reversible,D6,Y,"[2/3, 2/3, -1/3]",2.2301768461283844,N,Y
9_49,3,2,2,reversible,D3,N,['n/a'],0.5476556274306075,N,N
10_1,2,1,1,reversible,D2,N,['n/a'],1.543361918426792,Y,N
10_2,2,1,1,reversible,D2,N,['n/a'],0.8208301156455875,Y,N
10_3,2,1,1,reversible,D2,N,['n/a'],1.5024494047228345,Y,N
10_4,2,1,1,reversible,D2,N,['n/a'],1.31510082075543,Y,N
10_5,2,1,1,reversible,D2,N,['n/a'],1.0377930074215538,Y,N
10_6,2,1,1,reversible,D2,N,['n/a'],1.592480663542328,Y,N
10_7,2,1,1,reversible,D2,N,['n/a'],0.4187062081678476,Y,N
10_8,2,1,1,reversible,D2,N,['n/a'],1.184589484801515,Y,N
10_9,2,1,1,reversible,D2,N,['n/a'],1.0742572562036057,Y,N
10_10,2,1,1,reversible,D2,N,['n/a'],1.0146018209169434,Y,N
10_11,2,1,1,reversible,D2,N,['n/a'],1.512207349790266,Y,N
10_12,2,1,1,reversible,D2,N,['n/a'],1.2783955672097198,Y,N
10_13,2,1,1,reversible,D2,N,['n/a'],1.1768906624088973,Y,N
10_14,2,1,1,reversible,D2,N,['n/a'],1.3372822734066208,Y,N
10_15,2,1,1,reversible,D2,N,['n/a'],1.37241350228627,Y,N
10_16,2,1,1,reversible,D2,N,['n/a'],0.7606360077334069,Y,N
10_17,2,1,1,fully amphicheiral,D4,N,['n/a'],0.7082039324993694,Y,N
10_18,2,1,1,reversible,D2,N,['n/a'],0.7286766532664292,Y,N
10_19,2,1,1,reversible,D2,N,['n/a'],1.1437033291077545,Y,N
10_20,2,1,1,reversible,D2,N,['n/a'],0.9759111274880341,Y,N
10_21,2,1,1,reversible,D2,N,['n/a'],1.3262379212474844,Y,N
10_22,2,1,1,reversible,D2,N,['n/a'],1.143703329107768,Y,N
10_23,2,1,1,reversible,D2,N,['n/a'],0.8997833711620727,Y,N
10_24,2,1,1,reversible,D2,N,['n/a'],1.1227020235873417,Y,N
10_25,2,1,1,reversible,D2,N,['n/a'],0.8729333558610092,Y,N
10_26,2,1,1,reversible,D2,N,['n/a'],0.3964016555480312,Y,N
10_27,2,1,1,reversible,D2,N,['n/a'],0.8452308397884025,Y,N
10_28,2,1,1,reversible,D2,N,['n/a'],0.990867995125007,Y,N
10_29,2,1,1,reversible,D2,N,['n/a'],1.6108470981978886,Y,N
10_30,2,1,1,reversible,D2,N,['n/a'],0.48388903560039476,Y,N
10_31,2,1,1,reversible,D2,N,['n/a'],1.3372822734066228,Y,N
10_32,2,1,1,reversible,D2,N,['n/a'],1.4210442841539779,Y,N
10_33,2,1,1,fully amphicheiral,D4,N,['n/a'],0.18033988749894903,Y,N
10_34,2,1,1,reversible,D2,N,['n/a'],0.6515661775710243,Y,N
10_35,2,1,1,reversible,D2,N,['n/a'],1.143703329107767,Y,N
10_36,2,1,1,reversible,D2,N,['n/a'],1.1437033291077772,Y,N
10_37,2,1,1,fully amphicheiral,D4,N,['n/a'],1.5623058987490541,Y,N
10_38,2,1,1,reversible,D2,N,['n/a'],1.2091674646297303,Y,N
10_39,2,1,1,reversible,D2,N,['n/a'],1.3657738484173203,Y,N
10_40,2,1,1,reversible,D2,N,['n/a'],1.541110519652608,Y,N
10_41,2,1,1,reversible,D2,N,['n/a'],1.1691411441858395,Y,N
10_42,2,1,1,reversible,D2,N,['n/a'],1.5255897753127932,Y,N
10_43,2,1,1,fully amphicheiral,D4,N,['n/a'],1.201626123751156,Y,N
10_44,2,1,1,reversible,D2,N,['n/a'],0.9319033345984946,Y,N
10_45,2,1,1,fully amphicheiral,D4,N,['n/a'],0.34752415750147136,Y,N
10_46,3,1,1,reversible,D1,Y,"[1/2, 1/3, 1/5]",0.7410467470115522,Y,N
10_47,3,1,1,reversible,D1,Y,"[1/2, 2/3, 1/5]",0.547655627430615,Y,N
10_48,3,1,1,reversible,D1,Y,"[1/2, 1/3, 4/5]",0.6737620787507357,Y,N
10_49,3,1,1,reversible,D1,Y,"[1/2, 2/3, 4/5]",0.7797332821347408,Y,N
10_50,3,1,1,reversible,D1,Y,"[1/2, 1/3, 3/7]",0.05572809000084078,Y,N
10_51,3,1,1,reversible,D1,Y,"[1/2, 2/3, 3/7]",0.5578197961952763,Y,N
10_52,3,1,1,reversible,D1,Y,"[1/2, 1/3, 4/7]",0.2830546701048977,Y,N
10_53,3,1,1,reversible,D1,Y,"[1/2, 2/3, 4/7]",0.2488761339122885,Y,N
10_54,3,1,1,reversible,D1,Y,"[1/2, 1/3, 2/7]",0.9512124145057625,Y,N
10_55,3,1,1,reversible,D1,Y,"[1/2, 2/3, 2/7]",0.6952497348223168,Y,N
10_56,3,1,1,reversible,D1,Y,"[1/2, 1/3, 5/7]",0.8729333558610092,Y,N
10_57,3,1,1,reversible,D1,Y,"[1/2, 2/3, 5/7]",0.9723467238021607,Y,N
10_58,3,1,1,reversible,D2,Y,"[1/2, 2/5, 2/5]",0.48388903560039187,Y,N
10_59,3,1,1,reversible,D1,Y,"[1/2, 3/5, 2/5]",1.3591017580678266,Y,N
10_60,3,1,1,reversible,D2,Y,"[1/2, 3/5, 3/5]",0.2091858355483548,Y,N
10_61,3,2,2,reversible,D2,Y,"[1/3, 1/3, 1/4]",1.9598332451392766,N,N
10_62,3,1,2,reversible,D1,Y,"[2/3, 1/3, 1/4]",1.862017979574558,N,N
10_63,3,2,2,reversible,D2,Y,"[2/3, 2/3, 1/4]",1.869900481647865,N,N
10_64,3,1,2,reversible,D2,Y,"[1/3, 1/3, 3/4]",1.8491926576247821,N,N
10_65,3,2,2,reversible,D1,Y,"[2/3, 1/3, 3/4]",1.9106429451294806,N,N
10_66,3,1,2,reversible,D2,Y,"[2/3, 2/3, 3/4]",2.0206992765583243,N,N
10_67,3,1,2,chiral,Z2,Y,"[2/3, 1/3, 2/5]",1.7671141498982514,N,N
10_68,3,1,2,reversible,D2,Y,"[1/3, 1/3, 3/5]",1.7229810696193166,N,N
